Cod unic candidat ,Sex,Specializare,Profil,Fileira,Forma de învățământ,Mediu candidat,Unitate (SIIIR),Unitate (SIRUES),Clasa,Subiect ea,Subiect eb,Limba modernă,Subiect ec,Subiect ed,Promoție,NOTE_RECUN_A,NOTE_RECUN_B,NOTE_RECUN_C,NOTE_RECUN_D,NOTE_RECUN_EA,NOTE_RECUN_EB,NOTE_RECUN_EC,NOTE_RECUN_ED,STATUS_A,STATUS_B,STATUS_C,STATUS_D,STATUS_EA,STATUS_EB,STATUS_EC,STATUS_ED,ITA,SCRIS_ITC,SCRIS_PMS,ORAL_PMO,ORAL_IO,NOTA_EA,NOTA_EB,NOTA_EC,NOTA_ED,CONTESTATIE_EA,NOTA_CONTESTATIE_EA,CONTESTATIE_EB,NOTA_CONTESTATIE_EB,CONTESTATIE_EC,NOTA_CONTESTATIE_EC,CONTESTATIE_ED,NOTA_CONTESTATIE_ED,PUNCTAJ DIGITALE,STATUS,Medie
246185,F,Științe ale Naturii,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a H,Limba română (REAL),Limba germană,Limba engleză,Matematică ST-NAT,"Anatomie și fiziologie umană, genetică și ecologie umană",2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,Mediu,Calificativ,Certificat,Promovat,Promovat,Promovat,Promovat,A2,B1,B1,B1,B1,8.8,7.0,7.6,8.45,Da,8.75,Nu,,Nu,,Nu,,,Promovat,7.96
246324,M,Științe ale Naturii,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a H,Limba română (REAL),Limba germană,Limba engleză,Matematică ST-NAT,"Anatomie și fiziologie umană, genetică și ecologie umană",2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,Avansat,Calificativ,Certificat,Promovat,Promovat,Promovat,Promovat,B2,B1,B1,B2,B2,7.7,6.6,5.85,6.3,Nu,,Nu,,Nu,,Nu,,,Promovat,6.61
246215,M,Științe ale Naturii,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a H,Limba română (REAL),Limba germană,Limba engleză,Matematică ST-NAT,Informatică SN Pascal,2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,Experimentat,Calificativ,Certificat,Promovat,Promovat,Promovat,Promovat,B2,B2,B2,B2,B2,9.6,9.3,9.75,8.8,Nu,,Nu,,Nu,,Nu,,,Promovat,9.36
246549,M,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a C,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,"Anatomie și fiziologie umană, genetică și ecologie umană",2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,-,Calificativ,Certificat,Promovat,-,Promovat,Promovat,A1,B1,B2,B1,B1,9.7,,9.2,8.5,Nu,,Nu,,Nu,,Nu,,,Promovat,9.13
246514,M,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a C,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,"Anatomie și fiziologie umană, genetică și ecologie umană",2014-2015,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,-,Calificativ,Experimentat,Promovat,-,Promovat,Promovat,B1,B1,B2,B2,B2,8.2,,10.0,10.0,Nu,,Nu,,Nu,,Nu,,81.0,Promovat,9.4
246528,M,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a C,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,Informatică MI Pascal,2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,-,Calificativ,Certificat,Promovat,-,Promovat,Promovat,B1,A2,B2,B2,B2,9.2,,9.6,9.8,Nu,,Nu,,Nu,,Nu,,,Promovat,9.53
246339,M,Științe ale Naturii,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a H,Limba română (REAL),Limba germană,Limba engleză,Matematică ST-NAT,Chimie anorganică TEO Nivel I/II     ,2014-2015,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,Avansat,Calificativ,Mediu,Promovat,Promovat,Promovat,Promovat,B2,A2,B1,B1,B1,7.7,6.7,7.3,6.3,Da,8.1,Nu,,Nu,,Nu,,35.0,Promovat,7.0
246379,M,Științe ale Naturii,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a H,Limba română (REAL),Limba germană,Limba engleză,Matematică ST-NAT,Chimie organică TEO Nivel I/II,2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,Experimentat,Calificativ,Certificat,Promovat,Promovat,Promovat,Promovat,B2,B1,B1,B2,B2,8.7,7.2,9.75,5.6,Nu,,Nu,,Nu,,Nu,,,Promovat,7.81
246567,M,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a C,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,"Anatomie și fiziologie umană, genetică și ecologie umană",2014-2015,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Experimentat,-,Calificativ,Certificat,Promovat,-,Promovat,Promovat,B1,A1,A1,A1,A1,7.5,,6.4,8.4,Nu,,Nu,,Nu,,Nu,,,Promovat,7.43
246597,M,Matematica-Informatica,Real,Teoretica,Zi,URBAN,2061100032,530706.0,a XII-a C,Limba română (REAL),,Limba engleză,Matematică MATE-INFO,"Anatomie și fiziologie umană, genetică și ecologie umană",2014-2015,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Experimentat,-,Calificativ,Experimentat,Promovat,-,Promovat,Promovat,B1,B1,B2,B2,B2,8.65,,9.25,8.5,Nu,,Nu,,Nu,,Nu,,78.0,Promovat,8.8
